mo,fullname,genus,species,kingdom,phylum,class,fullname
F_ASPRG_USTS,Aspergillus ustus,Aspergillus,ustus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus ustus
F_ASPRG_USTL,Aspergillus ustilago,Aspergillus,ustilago,Fungi,Ascomycota,Eurotiomycetes,Aspergillus ustilago
F_ASPRG_URMN,Aspergillus urmiensis,Aspergillus,urmiensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus urmiensis
F_ASPRG_UNLT,Aspergillus unilateralis,Aspergillus,unilateralis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus unilateralis
F_ASPRG_UNGS,Aspergillus unguis,Aspergillus,unguis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus unguis
F_ASPRG_VDNS,Aspergillus vadensis,Aspergillus,vadensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus vadensis
F_ASPRG_SBSS,Aspergillus subsessilis,Aspergillus,subsessilis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus subsessilis
F_ASPRG_TBTN,Aspergillus tibetensis,Aspergillus,tibetensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tibetensis
F_ASPRG_THSR,Aspergillus thesauricus,Aspergillus,thesauricus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus thesauricus
F_ASPRG_TMRN,Aspergillus tamarindosoli,Aspergillus,tamarindosoli,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tamarindosoli
F_ASPRG_TAMR,Aspergillus tamarii,Aspergillus,tamarii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tamarii
F_ASPRG_TKLM,Aspergillus taklimakanensis,Aspergillus,taklimakanensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus taklimakanensis
F_ASPRG_TAKK,Aspergillus takakii,Aspergillus,takakii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus takakii
F_ASPRG_TAKD,Aspergillus takadae,Aspergillus,takadae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus takadae
F_ASPRG_TCHN,Aspergillus taichungensis,Aspergillus,taichungensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus taichungensis
F_ASPRG_TNNR,Aspergillus tanneri,Aspergillus,tanneri,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tanneri
F_ASPRG_SYNC,Aspergillus syncephalis,Aspergillus,syncephalis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus syncephalis
F_ASPRG_SYDW_AGRA,Aspergillus sydowii agrae,Aspergillus,sydowii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sydowii agrae
F_ASPRG_SYDW,Aspergillus sydowii,Aspergillus,sydowii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sydowii
F_ASPRG_STTN,Aspergillus suttoniae,Aspergillus,suttoniae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus suttoniae
F_ASPRG_LPHRS,Aspergillus sulphureus,Aspergillus,sulphureus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sulphureus
F_ASPRG_SLPH,Aspergillus sulphureoviridis,Aspergillus,sulphureoviridis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sulphureoviridis
F_ASPRG_SBVR,Aspergillus subversicolor,Aspergillus,subversicolor,Fungi,Ascomycota,Eurotiomycetes,Aspergillus subversicolor
F_ASPRG_SYDW_MAJR,Aspergillus sydowii major,Aspergillus,sydowii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sydowii major
F_ASPRG_THOM,Aspergillus thomii,Aspergillus,thomii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus thomii
F_ASPRG_TPRR,Aspergillus tapirirae,Aspergillus,tapirirae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tapirirae
F_ASPRG_TRDS,Aspergillus tardus,Aspergillus,tardus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tardus
F_ASPRG_THRM,Aspergillus thermomutatus,Aspergillus,thermomutatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus thermomutatus
F_ASPRG_THLN,Aspergillus thailandensis,Aspergillus,thailandensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus thailandensis
F_ASPRG_TXNS,Aspergillus texensis,Aspergillus,texensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus texensis
F_ASPRG_TRRC_INDC,Aspergillus terricola indicus,Aspergillus,terricola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus terricola indicus
F_ASPRG_TRRC_AMRC,Aspergillus terricola americanus,Aspergillus,terricola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus terricola americanus
F_ASPRG_TRRC,Aspergillus terricola,Aspergillus,terricola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus terricola
F_ASPRG_TRDC,Aspergillus tardicrescens,Aspergillus,tardicrescens,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tardicrescens
F_ASPRG_TERRS_GLBS,Aspergillus terreus globosus,Aspergillus,terreus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus terreus globosus
